# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x14000b428 | 12 | ASCII | sechost.dll
0x14000b438 | 11 | ASCII | user32.dll
0x14000b448 | 11 | ASCII | win32u.dll
0x14000b458 | 10 | ASCII | gdi32.dll
0x14000b468 | 14 | ASCII | gdi32full.dll
0x14000b478 | 14 | ASCII | msvcp_win.dll
0x14000b488 | 13 | ASCII | ucrtbase.dll
0x14000b498 | 10 | ASCII | imm32.dll
0x14000b4a8 | 12 | ASCII | combase.dll
0x14000b4b8 | 10 | ASCII | msctf.dll
0x14000b4c8 | 13 | ASCII | oleaut32.dll
0x14000b4d8 | 16 | ASCII | TextShaping.dll
0x14000b4e8 | 19 | ASCII | kernel.appcore.dll
0x14000b500 | 21 | ASCII | bcryptprimitives.dll
0x14000b518 | 23 | ASCII | TextInputFramework.dll
0x14000b530 | 21 | ASCII | CoreUIComponents.dll
0x14000b548 | 18 | ASCII | CoreMessaging.dll
0x14000b560 | 11 | ASCII | ws2_32.dll
0x14000b570 | 11 | ASCII | SHCore.dll
0x14000b580 | 13 | ASCII | WinTypes.dll
0x14000b590 | 11 | ASCII | bcrypt.dll
0x14000b5a0 | 11 | ASCII | devobj.dll
0x14000b5b0 | 11 | ASCII | devrtl.dll
0x14000b5c0 | 11 | ASCII | dwmapi.dll
0x14000b5d0 | 13 | ASCII | setupapi.dll
0x14000b5e0 | 13 | ASCII | cfgmgr32.dll
0x14000b5f0 | 12 | ASCII | crypt32.dll
0x14000b600 | 11 | ASCII | rpcrt4.dll
0x14000b610 | 13 | ASCII | imagehlp.dll
0x14000b620 | 11 | ASCII | msasn1.dll
0x14000b630 | 12 | ASCII | ntmarta.dll
0x14000b640 | 11 | ASCII | samlib.dll
0x14000b650 | 12 | ASCII | wldap32.dll
0x14000b660 | 12 | ASCII | rpcrt32.dll
0x14000b670 | 10 | ASCII | ole32.dll
0x14000b680 | 12 | ASCII | version.dll
0x14000b690 | 10 | ASCII | psapi.dll
0x14000b6a0 | 12 | ASCII | shlwapi.dll
0x14000b6b0 | 12 | ASCII | uxtheme.dll
0x14000b6c0 | 11 | ASCII | msvcrt.dll
0x14000b6d8 | 20 | ASCII | DeviceIdColumnWidth
0x14000b6f0 | 19 | ASCII | ComPortColumnWidth
